,text_stemmed
0,12772 is late by 6 hour 
1,12772 is late by 6 hour 
2,12772 is late by 6 hour 
3,12772 is late by 6 hour 
4,12772 is late by 6 hour 
5,12772 is late by 6 hour 
6,12772 is late by 6 hour 
7,12772 is late by 6 hour 
8,12772 is late by 6 hour 
9,12772 is late by 6 hour 
10,12772 is late by 6 hour 
11,12772 is late by 6 hour 
12,pleas help and revert 
13,kindli share your pnr number for better assist 
14,pleas provid medic 
15,17019 s6 coach 
16,gwalior station not attend thi 
17,can you help in 12801 purushottam express s5 
18,12192 b3 coach ac not work pleas help 
19,daili need perman 
20,retweet it 
21,indian are veri late 
22,pleas see my remark issu not resolv yet 
23,veri true total corrupt system 
24,ticket book veri soon but 
25,your complaint is note 
26,train number 04651 keep delay without ani reason 
27,whi such anti nation not arrest 
28,veri bad condit of indian railway 
29,sorri for inconveni 
30,thi is viral pic in social media 
31,mam you can onli help here pleas 
32,tractor be transport by indian railway 
33,not work 
34,veri denger 
35,have sent a privat messag 
36,vote blue the o jay love video youtub 
37,lower parel station east west bridg 
38,doe he knew ani southern indian languag 
39,their is no water s4 in no 20846 
40,stop in khagraghat road 
41,11464 sleeper coach s2 
42,pleas provid me blanket pnr 8458920874 b6 55 
43,whi it is too late 05521 
44,problem solv 
45,matter relat with lko divis 
46,whi trainseg 22538 run so late 
47,corngratul be a part of famili 
48,intens cleanli drive in retir room at station 
49,which coach no ac is not work 
50,stagger halt polici 
51,make train run on time too 
52,my mobil number 9157394009 
53,if can not run thi pleas transfer to 
54,ani comment about thi 
55,help me for search my parcel 
56,pl visit ac rest timmon shambl 
57,still my problem not solv 
58,what ha happen to my ingli 
59,need action 
60,is travel without ticket to jabalpur from lucknow 
61,request for stop at khed ratnagiri 
62,is it paid servic or free servic 
63,i hate thi liter gondia express no 15231 
64,nobodi respons 
65,ye but one can claim berth 
66,kindli see thi alreadi 6 hour late 
67,i need help 
68,would be great if halt at kankavali 
69,train no 12371 bikan weekli 8 hour diley 
70,kindli share your contact number for better assist 
71,mobil number 7008425801 
72,dont use earphon while walk besid track 
73,jay hind 
74,i dont receiv ani amount of refund yet 
75,tiffin on kudal station pleas call 8625041901 
76,about time karmali wa too far 
77,inconveni caus is regret 
78,today tran be late 9 hour 
79,still train get late 
80,rrc grup d result which day 
81,cc pleas take action against 
82,0530 hr delay 
83,ha been stand one place for three hour 
84,now 12203 is 7 hr late 
85,do tag drm dhn 
86,no12961 bed roll avail in3rd ac 
87,durgiana express no 12357 
88,onli one answer oper constraint 
89,remov all slum near track 
