,text
0,this is like worst nightmare to travel via this train it s been 4 hours since i m on the station nd still railway staff are clueless of arrival of the train i just wann my train exact expected arrival time please 
1,worst service by northern railways no indicator for coach position at basti railway station people were rushing to find their coaches after train arrival time 05 12 am train no 05053 gkp bdts festival special 
2,pnr 4759117458 i am not able to find any charging port with a free seat near to it i got a charging port in ac coach but tt didn t allow kindly give me a seat with port or allow me to sit in 3a coach 
3, sir i want to inform you that train no 05529 which is running more than 2 hour delay and i have an exam at varanasi if this train is running to much delay than i will not rise on time my pnr no is 6311400732 so please do something for me
4, sirpur khagaz to secunderabad bagyanagar express prag water purifier not working rail box number 216019 please look into matter 
5, tnumber 01044 it s running late by 32 hours first sms by irctc was to inform that train running late by 20 hours but pafter reaching railway station got to know that it s running late and time is getting extended 
6,dear railway there are a lot of people without reservation entered in b1 coach of shramjivi exp it looks like general coach requesting please do something at next stop my pnr is 2450504423 
7,no bedding is provided in train no 22709 no attendant present in the coach ac 3 
8, please see the coaches are sanitized and freshener is used to avoid bad smell currently traveling via 12025
9,train is late by 45 minutes today s is my exam 
10, i am travelling in faizabad delhi exp train no is 14206 train is getting late but i have to reach destination timely i think train should be run timely
11,my train has got late by 2hrs15 min now i m going to miss my nxt train so what should i do now 
12, its 5 51 am and these people are playing their religious song so loudly it s really disturbing my sleep i would be grateful to you if you take some action train 22192 coach s6 seat number 60 
13, dont t talk only about bullet train first give basic arrangements to people the clock at the entrance of chhapra junction is slow by more than 10 minutes but no one cares 
14,kanpur central didn t announce the arrival of 22539 mau anvt today it was expected to arr at 7 but later on change to 6 why it is so 
15, please help me with status of complaint number 2022110900508 i had raised it through portal but now am not able to track the status 
16,indian railways always heartbreak to passengers why this much of late 
17, pnr 6411297743 from dhanbad jndhn to vasco da gamavsg mobile 7631108561 no water in toilets since yesterday
18, please look into this because this is the only railway crossing for a big area and this is the only road in and out from the area any help will be appreciated 
19, train no 14727 running late by 1hr57min how much should a passenger adjust that too when the situation is to work on dailywages we expect from indianrailway 
20,70 years old heart patient lady amp her assistant allotted middle amp upper berth in tatkal booking inspite of filling choice for lower berth please upgrade to one lower berth for old lady pnr 2450917536 
21, dear sir train stops every station more than 30 minutes without any information please do some needful my train no is 15527 regards ashwani
22, train number 12523 traveling from lko to ndls unable to sleep already train is late and this guys traveling in waiting tickets using mobile and talking loudly in coach s10 i want to be anonymous so not shareing pnr tq
23,17234 baghya nagar express actual arrival 4 34 still we are waiting at rdm every day it s getting late i dont know daily what happens it s starting from shirpurkagaz nagar only passengers are loosing interest to board this train 
24, complaint is closed by technical team but no action has been taken on ground and while providing feedback rating is being submitted satisfactory automatically please help to resolve the issue on ground travelling in such scenario is very painful 
25, yahi haal tha rahega nothing is going to change 
26, pasanger complain put right by on board electric staff 
27, passage of sleeper class is over crowded can t even go to washroom please handle the situation train no 19484 coach s4 
28, see the condition of sleeper class how people are traveling like animals and all are seated anywhere without reservation what the railway rules say please acknowledge in train no 13308 
29, as taking the train from indore train no 14802 linen provided is useless not cleaned and used one it s only refolded concerned departments are not keen to look into this matter as attendant said it s a daily issue 
30, travelling in 22692 nzm sbc rajdhani a2 it seems this boggi is pre independence ver ver old no proper seats no charger at side lower it s high time to upgrade rajdhani trains specially this one people are paying heavy amount for shit facility
31,i hv to cancel my journey from nagpur as train was more than 4 30 hrs late and no point in continuing it as i will miss all the schedule meeting please do something for this route very pathetic situation 
32,please resolve my issue or else refund the money if you dont t have any option to accommodate th rac passengers then please remove this pathetic rule of giving half seats on full amount please solve my issue
33, why no one to listen at the most critical hours 
34, ac not working suffering in the train unable to breath ap express pnr 2831535971
35, such a shameful condition why can t railways get pest control who ensures safety of the passengers 
36, ac was completely switched after complaining twice to tt about the ac fan speed being lowopp of why i asked for now there is no air circulation let alone cold air whats the point of paying a premium for 2a when service is disappointing train 12637 2a
37, why train 12772 is late by 6 hours any reason or are you expediting to remove further delays in your region 
38,i m travelling from delhi to nanded by train my pnr no is 2830215451 since yesterday water is not available in washroom so it s not functioning kindly resolve this issue 
39, 12904 pnr 2150966806 we are served with open bed sheets it seems used bedsheets are folded and served no quality insured is the bedsheets also being served without cleaning
40,i m travelling by humsafar express12504 when i boarded the train i found that there was no staff no bedrolls it costs me around 6000 ticket for 3rd ac all the passengers have same complaint please provide the services for which we are being charged thank you 
41, around 1000 peoples are onbarded in this train each have different commitments tomorrow morning and your train is running late by 6 hours why this mismanagement is there 
42, 01127 ltt bpq special train running by 3 hours late kindly see that this train run on time down train running late by 3 hours also up train running late 
43,why train no 02563 always be late for 7 to 8 hours in delhi please be serious about this thing my pnr is 6610279068 i am also in this train today is my interview is in delhi at 11 00am and i am late please help me 
